id_actividad,Name,description,Location,Address ,Date,Hour,Image,Category,Cost
1,RUP,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Verba,27 Lien Trail,09/28/2020,3:13,https://robohash.org/minimaoditipsum.bmp?size=50x50&set=set1,Outdoors,1
2,VDM,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Tongle,8482 Spenser Trail,11/07/2019,3:11,https://robohash.org/sintquasilabore.bmp?size=50x50&set=set1,Inside,1
3,Adult Education,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Shangganshan,8 South Drive,12/14/2019,17:05,https://robohash.org/undefacerequi.png?size=50x50&set=set1,Outdoors,1
4,HNI,In congue. Etiam justo. Etiam pretium iaculis justo.,Toulouse,6 2nd Alley,08/19/2020,9:09,https://robohash.org/temporesintoccaecati.bmp?size=50x50&set=set1,Inside,1
5,IUI,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Gaofeng,8362 John Wall Crossing,05/25/2020,21:12,https://robohash.org/hicvoluptatemblanditiis.jpg?size=50x50&set=set1,Outdoors,1
6,RTL Verification,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Fengle,4 Shasta Lane,09/05/2020,9:16,https://robohash.org/numquamabet.bmp?size=50x50&set=set1,Outdoors,0
7,HDMI,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Shanglian,24 Main Alley,05/18/2020,9:37,https://robohash.org/blanditiisutaliquam.bmp?size=50x50&set=set1,Outdoors,1
8,Titration,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Olds,20 Oak Terrace,11/07/2019,3:23,https://robohash.org/utundeculpa.bmp?size=50x50&set=set1,Outdoors,1
9,DFT Compiler,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Chemnitz,21 Lukken Plaza,10/01/2020,18:28,https://robohash.org/abvoluptatibusrerum.bmp?size=50x50&set=set1,Outdoors,1
10,ALM,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Neuilly-sur-Marne,819 Moulton Point,10/26/2019,20:11,https://robohash.org/quispariaturipsam.png?size=50x50&set=set1,Inside,0
