DIRECTORIO	FEX_C	REGION	DIA_REFERENCIA_2	clase	P424	P4030S1	P4030S1A1	P4030S5	P4030S3	P4030S4	P4030S4A1	P4030S2	P4020
2915591	463.993402032436	2	7	1	1	1	3	1	1	1	3	1	6
2915592	93.0843814384534	4	3	1	1	1	1	2	2	1	3	2	3
2915593	516.279638050295	2	7	1	1	1	1	1	1	1	3	1	3
2915594	655.671442937884	2	7	1	2	1	1	1	1	1	3	1	6
2915595	326.783506652314	2	1	1	2	1	1	1	1	1	3	1	3
2915596	605.508264722796	2	7	1	1	1	1	1	1	1	3	1	3
2915597	236.891479000356	2	1	1	1	1	1	1	1	1	3	1	4
2915598	322.945050694627	2	1	1	2	1	1	1	1	1	3	1	4
2915599	294.006222268787	2	1	1	2	1	1	1	1	1	3	1	4
2915600	590.631456673286	2	7	1	1	1	1	1	1	1	3	1	3
2915601	310.822801644477	2	1	1	2	1	1	1	1	1	3	1	3
2915602	400.243090033659	3	1	1	1	1	1	1	2	1	3	2	6
2915603	404.134838069078	3	7	1	2	1	1	2	2	2		2	6
2915604	349.38892248541	3	1	1	2	1	1	1	2	2		2	6
2915605	385.081618565973	3	1	1	2	1	1	1	2	2		2	6
2915606	469.013227080662	3	7	1	2	1	1	2	2	1	3	1	3
2915607	187.780584767826	3	8	1	2	1	2	2	2	2		2	6
2915608	86.2720292156905	2	8	1	1	1	2	1	1	1	3	1	3
2915609	94.2705380293871	2	8	1	1	1	2	1	1	1	3	1	3
2915610	39.0181519132765	2	8	1	1	1	1	1	1	1	3	1	3
2915611	38.162198793907	2	8	1	1	1	1	1	1	1	3	1	3
2915612	45.3648504475866	2	8	1	2	1	2	1	1	1	3	1	6
2915614	682.167247311387	2	7	1	1	1	3	1	1	1	3	1	3
2915615	80.8036401949197	2	8	1	1	1	3	1	1	1	3	1	3
2915616	126.814378745128	2	8	1	1	1	3	1	1	1	3	1	3
2915618	151.037585862486	2	8	1	1	1	3	1	1	1	3	1	3
2915619	514.981939220095	2	7	1	1	1	3	1	1	1	3	1	3
2915620	542.853114574348	2	7	1	1	1	3	1	1	1	3	1	3
2915621	212.5257359647	4	7	1	2	1	3	1	1	1	3	2	3
2915622	72.5484350892041	4	1	1	2	1	3	1	1	1	3	2	3
2915623	249.598557509818	4	8	2	1	1	2	1	2	1	2	2	7
2915624	227.83650713221	4	8	2	1	1	2	1	2	1	2	2	7
2915625	165.043080432513	4	8	2	1	1	2	1	2	1	3	2	3
2915626	279.544907346782	4	8	2	1	1	2	1	2	1	3	2	6
2915627	191.539443463879	4	8	2	1	1	2	1	2	1	3	2	6
2915628	107.154747998446	2	8	1	1	1	2	1	1	1	3	1	3
2915629	134.114613328204	2	8	1	1	1	2	1	1	1	3	1	3
2915630	88.3550311610509	2	3	1	1	1	2	1	1	1	3	1	3
2915631	111.662354640882	2	3	1	1	1	2	1	1	1	3	1	3
2915632	119.638142794263	4	7	1	1	1	1	1	1	1	3	2	6
2915633	99.8668037588078	4	8	1	1	1	1	2	2	1	3	2	3
2915634	62.2807272673056	4	1	1	1	1	1	2	2	1	3	2	6
2915635	128.129109674765	4	3	1	1	1	1	2	2	1	3	2	6
2915636	320.185265220356	3	8	1	2	1	1	1	1	1	3	1	3
2915637	153.544832184021	4	7	1	1	1	1	2	1	1	3	2	6
2915638	74.2973737027397	4	8	1	2	1	3	1	1	1	3	2	3
2915639	112.365261047751	2	8	1	2	1	1	1	1	1	3	1	6
2915640	132.026447841456	2	3	1	1	1	2	1	1	1	2	1	3
2915641	86.8793870325714	2	8	1	1	1	2	1	1	1	3	1	6
2915642	148.955599665558	2	3	1	2	1	2	1	1	1	3	1	6
2915643	259.903622403591	4	1	1	1	1	2	1	1	1	3	1	3
2915644	578.246304984698	4	8	1	2	1	2	1	1	1	3	2	3
2915646	396.772744947586	2	1	1	2	1	4	1	1	1	2	2	3
2915648	244.731688077792	2	1	1	2	1	4	1	1	1	2	1	1
2915649	458.316225952192	2	1	1	2	1	4	1	1	1	2	1	3
2915650	52.4757435338061	2	3	1	1	1	1	1	1	1	3	1	6
2915651	48.9847006225163	2	3	1	1	1	1	1	1	1	3	1	3
2915653	29.5219402807852	2	3	1	1	1	3	1	1	1	3	1	3
2915654	37.9895710124071	2	3	1	1	1	3	1	1	1	6	1	3
2915655	26.8040203242027	2	3	1	1	1	3	1	1	1	3	1	3
2915656	53.9808088610716	2	3	1	2	1	3	1	1	1	3	1	6
2915657	191.264246129419	4	7	1	2	1	3	1	1	1	3	2	3
2915658	48.9269547832928	4	1	1	1	1	1	2	2	1	3	2	5
2915660	87.3684508809849	4	1	1	1	1	1	2	2	1	3	2	3
2915661	141.177290959092	4	3	1	1	1	1	2	2	1	3	1	3
2915666	76.910234653455	4	3	1	2	1	3	1	1	1	3	2	3
2915667	76.1093817435947	4	3	2	1	1	2	1	2	2		2	7
2915668	128.116581075595	4	3	2	1	1	0	1	2	2		2	7
2915669	206.431076234087	2	8	1	2	1	4	1	1	1	2	1	3
2915670	124.066859048414	2	3	1	2	2		1	1	1	2	1	3
2915671	150.679996984033	2	3	1	2	1	4	1	1	1	2	1	3
2915672	141.687362885905	2	3	1	2	1	4	1	1	1	2	1	3
2915676	272.877642235906	3	8	1	1	1	1	2	2	2		2	6
2915677	129.291550168012	3	3	1	2	1	1	2	1	1	3	2	6
2915678	150.181072569457	3	3	1	2	1	1	2	1	1	3	1	3
2915679	229.307750402791	3	8	1	2	1	2	2	1	1	3	2	6
2915680	240.080286079664	1	3	1	1	1	1	1	2	1	3	1	3
2915681	404.268793094214	1	3	1	1	1	1	1	2	1	3	1	3
2915682	254.534139382544	1	3	1	1	1	1	1	2	1	3	1	3
2915683	153.937044696478	1	4	1	1	1	1	1	2	1	3	1	3
2915684	158.223888515037	4	3	2	1	1	1	2	2	2		2	7
2915685	183.83017979877	4	3	2	1	1	1	1	2	2		2	7
2915686	150.493156613927	4	4	2	1	1	1	2	2	2		2	7
2915687	165.310874069332	4	4	2	1	1	1	2	2	2		2	5
2915688	155.960511288978	4	3	2	1	1	0	2	2	2		2	7
2915689	183.089349888845	4	4	2	1	1	0	2	2	2		2	7
2915690	136.333164389355	4	4	2	1	1	0	2	2	2		2	7
2915691	175.126567214245	4	3	2	1	1	2	1	2	1	1	2	6
2915692	338.050560371729	4	8	2	1	2		2	2	2		2	6
2915693	148.866404660136	4	4	2	1	1	2	1	2	2		2	6
2915694	135.235405947061	4	4	2	1	1	2	2	2	2		2	4
2915696	87.1379897015712	4	4	2	1	1	1	1	2	2		2	7
2915697	102.210225557565	4	4	2	1	2		1	2	2		2	7
2915698	268.706709717138	4	8	1	1	1	5	1	1	1	3	2	3
2915699	228.757433082183	4	1	1	1	1	4	1	1	1	7	2	3
2915700	440.132923444607	4	8	1	2	1	5	1	1	1	6	2	3
2915701	416.381066246956	4	1	1	1	1	5	1	1	1	3	2	3
2915702	338.411934017294	4	8	1	1	1	5	1	1	1	3	2	3
2915703	36.0245555114753	2	3	1	1	1	1	1	1	1	3	1	3
2915704	27.9497490953321	2	3	1	1	1	1	1	1	1	3	1	6
2915707	86.4250742334968	2	5	1	1	1	1	1	1	1	3	2	6
2915708	72.7336819712866	2	5	1	1	1	1	1	1	1	3	2	6
2915709	47.9419551688598	2	8	1	1	1	1	1	1	1	3	1	6
2915711	80.842396677516	2	5	1	1	1	1	1	1	1	3	2	6
2915713	97.7451957417371	2	4	1	1	1	1	1	1	1	3	1	3
2915714	58.7529635784871	2	8	1	1	1	1	1	1	1	3	1	6
2915715	66.7889984893423	2	4	1	1	1	1	1	1	1	3	1	6
