id_activity	,id_user,Date,Hour
2,351,10/19/2019,19:28
26,244,11/15/2019,8:21
27,18,7/25/2020,1:04
17,390,12/25/2019,12:00
26,238,1/5/2020,12:10
13,86,7/14/2020,9:58
23,96,12/7/2019,19:54
29,107,12/27/2019,17:22
10,267,1/8/2020,1:49
19,73,11/16/2019,8:34
26,360,6/9/2020,23:38
30,39,12/11/2019,1:38
5,74,8/7/2020,7:38
10,388,8/17/2020,0:05
25,192,7/8/2020,2:30
1,225,4/3/2020,13:09
15,66,11/20/2019,14:08
18,125,1/11/2020,17:58
20,85,7/31/2020,19:29
9,10,4/19/2020,9:26
11,162,4/11/2020,1:26
5,29,12/23/2019,8:21
5,67,12/2/2019,1:54
14,322,1/18/2020,19:34
12,150,3/24/2020,9:03
21,76,10/7/2020,21:18
30,54,6/29/2020,21:33
30,48,3/2/2020,8:40
25,114,5/24/2020,4:24
15,119,3/27/2020,7:44
13,189,9/16/2020,19:36
28,111,2/26/2020,6:11
14,290,4/2/2020,19:15
6,264,1/10/2020,23:11
5,44,3/24/2020,12:40
12,378,1/19/2020,10:27
19,72,6/12/2020,7:15
24,366,7/3/2020,9:37
29,220,2/18/2020,3:31
18,200,3/16/2020,11:40
19,258,4/19/2020,9:45
5,64,10/12/2019,19:11
13,162,1/26/2020,10:57
27,259,3/2/2020,19:44
16,190,1/20/2020,11:32
30,172,4/27/2020,2:38
25,259,7/5/2020,14:12
30,64,12/23/2019,1:25
27,114,8/28/2020,11:02
18,32,4/9/2020,20:30
12,118,9/28/2020,15:24
24,99,5/26/2020,11:19
29,52,9/22/2020,4:13
19,65,3/2/2020,6:10
15,133,12/21/2019,10:44
15,49,3/22/2020,18:37
12,87,11/30/2019,20:38
21,167,4/3/2020,23:44
25,156,12/27/2019,17:32
5,384,11/7/2019,12:50
30,147,8/2/2020,13:22
10,186,3/26/2020,23:51
4,7,4/5/2020,10:06
5,242,11/2/2019,16:10
29,208,2/20/2020,15:35
24,295,2/28/2020,16:12
25,358,2/27/2020,15:17
30,361,7/19/2020,0:39
9,86,5/30/2020,2:25
3,109,4/13/2020,21:16
23,133,2/14/2020,12:50
3,217,9/22/2020,20:50
9,155,3/29/2020,21:44
27,230,1/8/2020,5:56
18,340,6/18/2020,15:01
18,327,8/20/2020,7:16
2,358,12/20/2019,16:56
20,153,10/11/2020,20:58
5,60,7/2/2020,19:28
6,96,6/17/2020,19:01
22,54,2/17/2020,22:07
16,79,3/9/2020,0:54
30,301,1/18/2020,15:59
1,120,5/8/2020,8:34
28,7,4/3/2020,13:51
27,364,7/5/2020,13:34
20,376,7/9/2020,6:01
23,274,2/1/2020,9:06
15,63,3/20/2020,23:10
12,322,10/2/2020,17:37
19,362,8/25/2020,20:45
17,90,12/18/2019,19:33
29,130,1/22/2020,14:17
22,191,3/20/2020,7:21
6,177,7/3/2020,18:32
20,17,8/17/2020,3:28
13,185,7/27/2020,21:52
13,186,6/12/2020,10:42
28,145,10/14/2019,3:35
25,92,1/21/2020,2:27
27,196,3/22/2020,13:42
7,35,5/28/2020,22:41
13,240,1/7/2020,5:49
19,238,9/23/2020,1:32
2,360,8/26/2020,11:34
15,264,5/12/2020,7:04
22,18,3/14/2020,16:49
6,61,8/24/2020,11:01
5,144,3/15/2020,21:33
30,128,1/23/2020,20:32
10,286,2/12/2020,4:21
10,174,5/15/2020,10:17
22,167,2/24/2020,17:21
6,330,6/1/2020,15:00
7,67,3/10/2020,8:16
25,126,11/26/2019,11:59
8,193,2/22/2020,5:30
30,184,1/6/2020,1:47
19,25,10/19/2019,21:08
7,151,9/25/2020,20:36
29,183,2/24/2020,9:34
15,356,3/26/2020,13:47
